ìÂ;ìÀ
7.1358E-02;7.1358E-05
7.1381E-02;7.1381E-05
7.1411E-02;7.1411E-05
7.1489E-02;7.1489E-05
7.1500E-02;7.1500E-05
7.1504E-02;7.1504E-05
7.1507E-02;7.1507E-05
7.1522E-02;7.1522E-05
7.1526E-02;7.1526E-05
7.1526E-02;7.1526E-05
7.1560E-02;7.1560E-05
7.1567E-02;7.1567E-05
7.1574E-02;7.1574E-05
7.1578E-02;7.1578E-05
7.1578E-02;7.1578E-05
7.1582E-02;7.1582E-05
7.1593E-02;7.1593E-05
7.1601E-02;7.1601E-05
7.1604E-02;7.1604E-05
7.1604E-02;7.1604E-05
7.1608E-02;7.1608E-05
7.1608E-02;7.1608E-05
7.1619E-02;7.1619E-05
7.1619E-02;7.1619E-05
7.1619E-02;7.1619E-05
7.1645E-02;7.1645E-05
7.1649E-02;7.1649E-05
7.1649E-02;7.1649E-05
7.1660E-02;7.1660E-05
7.1664E-02;7.1664E-05
7.1664E-02;7.1664E-05
7.1668E-02;7.1668E-05
7.1668E-02;7.1668E-05
7.1671E-02;7.1671E-05
7.1675E-02;7.1675E-05
7.1675E-02;7.1675E-05
7.1679E-02;7.1679E-05
7.1683E-02;7.1683E-05
7.1686E-02;7.1686E-05
7.1690E-02;7.1690E-05
7.1697E-02;7.1697E-05
7.1701E-02;7.1701E-05
7.1701E-02;7.1701E-05
7.1709E-02;7.1709E-05
7.1712E-02;7.1712E-05
7.1720E-02;7.1720E-05
7.1720E-02;7.1720E-05
7.1720E-02;7.1720E-05
7.1723E-02;7.1723E-05
7.1727E-02;7.1727E-05
7.1727E-02;7.1727E-05
7.1727E-02;7.1727E-05
7.1727E-02;7.1727E-05
7.1731E-02;7.1731E-05
7.1735E-02;7.1735E-05
7.1738E-02;7.1738E-05
7.1738E-02;7.1738E-05
7.1750E-02;7.1750E-05
7.1753E-02;7.1753E-05
7.1757E-02;7.1757E-05
7.1761E-02;7.1761E-05
7.1768E-02;7.1768E-05
7.1768E-02;7.1768E-05
7.1776E-02;7.1776E-05
7.1787E-02;7.1787E-05
7.1787E-02;7.1787E-05
7.1787E-02;7.1787E-05
7.1791E-02;7.1791E-05
7.1791E-02;7.1791E-05
7.1791E-02;7.1791E-05
7.1791E-02;7.1791E-05
7.1791E-02;7.1791E-05
7.1791E-02;7.1791E-05
7.1791E-02;7.1791E-05
7.1794E-02;7.1794E-05
7.1805E-02;7.1805E-05
7.1809E-02;7.1809E-05
7.1813E-02;7.1813E-05
7.1813E-02;7.1813E-05
7.1820E-02;7.1820E-05
7.1832E-02;7.1832E-05
7.1835E-02;7.1835E-05
7.1835E-02;7.1835E-05
7.1843E-02;7.1843E-05
7.1846E-02;7.1846E-05
7.1850E-02;7.1850E-05
7.1850E-02;7.1850E-05
7.1850E-02;7.1850E-05
7.1854E-02;7.1854E-05
7.1854E-02;7.1854E-05
7.1858E-02;7.1858E-05
7.1861E-02;7.1861E-05
7.1865E-02;7.1865E-05
7.1865E-02;7.1865E-05
7.1865E-02;7.1865E-05
7.1869E-02;7.1869E-05
7.1869E-02;7.1869E-05
7.1880E-02;7.1880E-05
7.1880E-02;7.1880E-05
7.1880E-02;7.1880E-05
7.1891E-02;7.1891E-05
7.1891E-02;7.1891E-05
7.1895E-02;7.1895E-05
7.1895E-02;7.1895E-05
7.1902E-02;7.1902E-05
7.1906E-02;7.1906E-05
7.1910E-02;7.1910E-05
7.1910E-02;7.1910E-05
7.1910E-02;7.1910E-05
7.1910E-02;7.1910E-05
7.1910E-02;7.1910E-05
7.1913E-02;7.1913E-05
7.1917E-02;7.1917E-05
7.1917E-02;7.1917E-05
7.1921E-02;7.1921E-05
7.1921E-02;7.1921E-05
7.1925E-02;7.1925E-05
7.1932E-02;7.1932E-05
7.1932E-02;7.1932E-05
7.1936E-02;7.1936E-05
7.1936E-02;7.1936E-05
7.1936E-02;7.1936E-05
7.1943E-02;7.1943E-05
7.1943E-02;7.1943E-05
7.1947E-02;7.1947E-05
7.1947E-02;7.1947E-05
7.1947E-02;7.1947E-05
7.1951E-02;7.1951E-05
7.1951E-02;7.1951E-05
7.1951E-02;7.1951E-05
7.1951E-02;7.1951E-05
7.1951E-02;7.1951E-05
7.1954E-02;7.1954E-05
7.1962E-02;7.1962E-05
7.1966E-02;7.1966E-05
7.1969E-02;7.1969E-05
7.1969E-02;7.1969E-05
7.1981E-02;7.1981E-05
7.1984E-02;7.1984E-05
7.1988E-02;7.1988E-05
7.1992E-02;7.1992E-05
7.1992E-02;7.1992E-05
7.1999E-02;7.1999E-05
7.1999E-02;7.1999E-05
7.2003E-02;7.2003E-05
7.2003E-02;7.2003E-05
7.2003E-02;7.2003E-05
7.2003E-02;7.2003E-05
7.2014E-02;7.2014E-05
7.2014E-02;7.2014E-05
7.2018E-02;7.2018E-05
7.2029E-02;7.2029E-05
7.2033E-02;7.2033E-05
7.2036E-02;7.2036E-05
7.2040E-02;7.2040E-05
7.2040E-02;7.2040E-05
7.2040E-02;7.2040E-05
7.2044E-02;7.2044E-05
7.2044E-02;7.2044E-05
7.2044E-02;7.2044E-05
7.2048E-02;7.2048E-05
7.2048E-02;7.2048E-05
7.2059E-02;7.2059E-05
7.2074E-02;7.2074E-05
7.2074E-02;7.2074E-05
7.2077E-02;7.2077E-05
7.2077E-02;7.2077E-05
7.2081E-02;7.2081E-05
7.2085E-02;7.2085E-05
7.2085E-02;7.2085E-05
7.2085E-02;7.2085E-05
7.2092E-02;7.2092E-05
7.2096E-02;7.2096E-05
7.2096E-02;7.2096E-05
7.2103E-02;7.2103E-05
7.2107E-02;7.2107E-05
7.2107E-02;7.2107E-05
7.2115E-02;7.2115E-05
7.2115E-02;7.2115E-05
7.2122E-02;7.2122E-05
7.2130E-02;7.2130E-05
7.2141E-02;7.2141E-05
7.2152E-02;7.2152E-05
7.2156E-02;7.2156E-05
7.2174E-02;7.2174E-05
7.2182E-02;7.2182E-05
7.2197E-02;7.2197E-05
7.2197E-02;7.2197E-05
7.2204E-02;7.2204E-05
7.2215E-02;7.2215E-05
7.2223E-02;7.2223E-05
7.2223E-02;7.2223E-05
7.2238E-02;7.2238E-05
7.2245E-02;7.2245E-05
7.2256E-02;7.2256E-05
7.2264E-02;7.2264E-05
7.2267E-02;7.2267E-05
7.2293E-02;7.2293E-05
7.2334E-02;7.2334E-05
7.2424E-02;7.2424E-05
